[0.000, 0.772, 0.845, 0.367, 0.106, 0.087, 0.854, 0.146, 0.120, 0.081,0.660, 0.884, 0.133, 0.882, 0.886, 0.403, 0.338, 0.034, 0.501, 0.102],
[0.772, 0.000, 0.483, 0.247, 0.053, 0.943, 0.247, 0.104, 0.080, 0.603,0.211, 0.173, 0.726, 0.207, 0.388, 0.102, 0.293, 0.061, 0.614, 0.920],
#[0.845, 0.483, 0.000, 0.489, 0.440, 0.675, 0.186, 0.431, 0.900, 0.738,0.485, 0.153, 0.596, 0.125, 0.967, 0.557, 0.280, 0.093, 0.247, 0.993],
#[0.367, 0.247, 0.489, 0.000, 0.491, 0.552, 0.923, 0.640, 0.845, 0.470,0.899, 0.856, 0.931, 0.147, 0.853, 0.115, 0.266, 0.872, 0.278, 0.163],
[0.106, 0.053, 0.440, 0.491, 0.000, 0.970, 0.083, 0.085, 0.034, 0.706,0.003, 0.390, 0.676, 0.115, 0.990, 0.742, 0.811, 0.170, 0.461, 0.120],
[0.087, 0.943, 0.675, 0.552, 0.970, 0.000, 0.931, 0.951, 0.404, 0.614,0.848, 0.390, 0.137, 0.588, 0.389, 0.309, 0.766, 0.915, 0.151, 0.605],
[0.854, 0.247, 0.186, 0.923, 0.083, 0.931, 0.000, 0.020, 1.000, 0.300,0.523, 0.851, 0.090, 0.615, 0.329, 0.687, 0.017, 0.717, 0.305, 0.616],
[0.146, 0.104, 0.431, 0.640, 0.085, 0.951, 0.020, 0.000, 0.568, 0.849,0.202, 0.653, 0.419, 0.631, 0.044, 0.931, 0.569, 0.370, 0.122, 0.246],
[0.120, 0.080, 0.900, 0.845, 0.034, 0.404, 1.000, 0.568, 0.000, 0.057,0.778, 0.682, 0.492, 0.243, 0.142, 0.283, 0.803, 0.973, 0.317, 0.570],
[0.081, 0.603, 0.738, 0.470, 0.706, 0.614, 0.300, 0.849, 0.057, 0.000,0.233, 0.779, 0.858, 0.005, 0.808, 0.560, 0.357, 0.527, 0.178, 0.328],
[0.660, 0.211, 0.485, 0.899, 0.003, 0.848, 0.523, 0.202, 0.778, 0.233,0.000, 0.993, 0.829, 0.860, 0.363, 0.568, 0.422, 0.722, 0.087, 0.668],
[0.884, 0.173, 0.153, 0.856, 0.390, 0.390, 0.851, 0.653, 0.682, 0.779,0.993, 0.000, 0.942, 0.426, 0.539, 0.849, 0.151, 0.600, 0.574, 0.069],
[0.133, 0.726, 0.596, 0.931, 0.676, 0.137, 0.090, 0.419, 0.492, 0.858,0.829, 0.942, 0.000, 0.897, 0.599, 0.504, 0.695, 0.670, 0.015, 0.147],
[0.882, 0.207, 0.125, 0.147, 0.115, 0.588, 0.615, 0.631, 0.243, 0.005,0.860, 0.426, 0.897, 0.000, 0.466, 0.779, 0.575, 0.043, 0.277, 0.056],
[0.886, 0.388, 0.967, 0.853, 0.990, 0.389, 0.329, 0.044, 0.142, 0.808,0.363, 0.539, 0.599, 0.466, 0.000, 0.988, 0.809, 0.304, 0.428, 0.102],
[0.403, 0.102, 0.557, 0.115, 0.742, 0.309, 0.687, 0.931, 0.283, 0.560,0.568, 0.849, 0.504, 0.779, 0.988, 0.000, 0.983, 0.905, 0.036, 0.792],
[0.338, 0.293, 0.280, 0.266, 0.811, 0.766, 0.017, 0.569, 0.803, 0.357,0.422, 0.151, 0.695, 0.575, 0.809, 0.983, 0.000, 0.980, 0.084, 0.513],
[0.034, 0.061, 0.093, 0.872, 0.170, 0.915, 0.717, 0.370, 0.973, 0.527,0.722, 0.600, 0.670, 0.043, 0.304, 0.905, 0.980, 0.000, 0.472, 0.353],
[0.501, 0.614, 0.247, 0.278, 0.461, 0.151, 0.305, 0.122, 0.317, 0.178,0.087, 0.574, 0.015, 0.277, 0.428, 0.036, 0.084, 0.472, 0.000, 0.986],
[0.102, 0.920, 0.993, 0.163, 0.120, 0.605, 0.616, 0.246, 0.570, 0.328,0.668, 0.069, 0.147, 0.056, 0.102, 0.792, 0.513, 0.353, 0.986, 0.000]


[5, 19, 14, 11, 17, 7, 2, 12, 13, 4, 15, 1, 16, 9, 3, 18, 6, 0, 8, 10]
6,1,18,14,10,9,5,11,19,13,7,17,12,20,15,8,2


[0.381, 0.410, 0.121, 0.346, 0.000, 0.272, 0.720, 0.425, 0.985, 0.440,0.102, 0.144, 0.346, 0.053, 0.108, 0.370, 0.050, 0.770, 0.672, 0.630],
[0.424, 0.349, 0.273, 0.715, 0.272, 0.000, 0.240, 0.299, 0.818, 0.384,0.232, 0.657, 0.049, 0.235, 0.372, 0.860, 0.374, 0.794, 0.899, 0.476],
[0.187, 0.000, 0.778, 0.235, 0.410, 0.349, 0.461, 0.968, 0.952, 0.742,0.618, 0.130, 0.505, 0.670, 0.259, 0.841, 0.727, 0.103, 0.720, 0.386],
